epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.848,1.54219,0.92191,1.21553,0.83368,0.72175,0.80746,0.47781,1.38624,0.931,1.1527,0.00333013,0.00333013,0.00333013
2,403.326,1.56245,0.99896,1.2353,0.84258,0.78295,0.8568,0.51321,1.33517,0.8156,1.12465,0.00663048,0.00663048,0.00663048
3,620.132,1.5822,1.03792,1.2314,0.85023,0.74696,0.84529,0.49012,1.39162,0.87461,1.14817,0.00989783,0.00989783,0.00989783
4,842.642,1.6105,1.10938,1.25056,0.82672,0.76531,0.8372,0.47322,1.41978,0.88364,1.15666,0.0098515,0.0098515,0.0098515
5,1058.32,1.61197,1.1033,1.24988,0.80944,0.74219,0.80888,0.4649,1.42898,0.95725,1.16611,0.009802,0.009802,0.009802
6,1268.86,1.60904,1.0745,1.24273,0.80799,0.76707,0.83669,0.48651,1.38337,0.88219,1.15555,0.0097525,0.0097525,0.0097525
7,1463.52,1.59802,1.05153,1.24778,0.8382,0.76516,0.84622,0.48938,1.3844,0.88251,1.14974,0.009703,0.009703,0.009703
8,1649.03,1.58139,1.0247,1.22302,0.8199,0.78878,0.84994,0.48745,1.40655,0.8522,1.14722,0.0096535,0.0096535,0.0096535
9,1838.4,1.56042,1.01698,1.23185,0.8056,0.81101,0.85408,0.50021,1.36847,0.84099,1.13858,0.009604,0.009604,0.009604
10,2029.54,1.56754,1.00686,1.22195,0.8419,0.79495,0.8749,0.50383,1.39403,0.82352,1.14767,0.0095545,0.0095545,0.0095545
11,2215.67,1.57099,1.01038,1.23374,0.8162,0.65824,0.74076,0.43362,1.42673,1.05624,1.1762,0.009505,0.009505,0.009505
12,2401.58,1.56524,1.00408,1.22065,0.83207,0.78348,0.86836,0.51854,1.34991,0.81787,1.1227,0.0094555,0.0094555,0.0094555
13,2590.12,1.544,1.00113,1.21834,0.8535,0.76866,0.86287,0.51298,1.3522,0.81474,1.12916,0.009406,0.009406,0.009406
14,2775.84,1.55194,0.99169,1.21045,0.83904,0.78719,0.86018,0.50737,1.3587,0.83045,1.12765,0.0093565,0.0093565,0.0093565
15,2960.91,1.54455,0.98039,1.21602,0.86429,0.78931,0.87412,0.52139,1.35289,0.79327,1.12245,0.009307,0.009307,0.009307
16,3146.66,1.53342,0.96472,1.20627,0.84733,0.7962,0.87066,0.5177,1.34757,0.80712,1.1182,0.0092575,0.0092575,0.0092575
17,3334.59,1.52401,0.93899,1.20279,0.84489,0.81029,0.87826,0.52852,1.3333,0.78129,1.11496,0.009208,0.009208,0.009208
18,3520.88,1.52435,0.94739,1.20797,0.8402,0.79936,0.87809,0.51978,1.33782,0.79036,1.12317,0.0091585,0.0091585,0.0091585
19,3706.88,1.51453,0.92957,1.20014,0.84324,0.81419,0.87909,0.52503,1.33381,0.77984,1.11582,0.009109,0.009109,0.009109
20,3893.32,1.51878,0.9296,1.19076,0.86544,0.80042,0.88896,0.53712,1.31288,0.76385,1.10152,0.0090595,0.0090595,0.0090595
21,4083.62,1.50246,0.93233,1.18915,0.83908,0.80603,0.87593,0.52678,1.33377,0.78455,1.11479,0.00901,0.00901,0.00901
22,4272.36,1.489,0.90803,1.18905,0.83352,0.81368,0.87759,0.52695,1.33102,0.76654,1.11074,0.0089605,0.0089605,0.0089605
23,4458.39,1.47967,0.90716,1.19165,0.83823,0.80995,0.88351,0.53385,1.3124,0.77799,1.10827,0.008911,0.008911,0.008911
24,4644.37,1.48799,0.90177,1.18507,0.8553,0.8036,0.88356,0.52775,1.33224,0.77755,1.1086,0.0088615,0.0088615,0.0088615
25,4834.58,1.47606,0.91981,1.17985,0.8558,0.80889,0.88689,0.53747,1.2999,0.73651,1.09391,0.008812,0.008812,0.008812
26,5023.61,1.45731,0.8771,1.17108,0.84741,0.82372,0.88728,0.5368,1.33739,0.76274,1.10952,0.0087625,0.0087625,0.0087625
27,5212.19,1.46342,0.8835,1.177,0.83606,0.80185,0.87236,0.52549,1.33882,0.78093,1.11791,0.008713,0.008713,0.008713
28,5398.41,1.46548,0.87571,1.1684,0.86169,0.80477,0.89119,0.53544,1.31704,0.74988,1.09944,0.0086635,0.0086635,0.0086635
29,5583.87,1.45299,0.86943,1.16657,0.84722,0.81613,0.88727,0.54514,1.30806,0.7444,1.09431,0.008614,0.008614,0.008614
30,5770.64,1.44616,0.85476,1.16185,0.86036,0.81866,0.8895,0.54389,1.29929,0.73056,1.09248,0.0085645,0.0085645,0.0085645
31,5956.24,1.44968,0.86278,1.16693,0.84343,0.82478,0.88421,0.53463,1.31057,0.75652,1.09642,0.008515,0.008515,0.008515
32,6144.05,1.44126,0.85618,1.15829,0.8482,0.83272,0.89558,0.54484,1.30717,0.73542,1.0939,0.0084655,0.0084655,0.0084655
33,6330.37,1.4304,0.8461,1.15749,0.86119,0.8216,0.89314,0.54765,1.28481,0.71457,1.086,0.008416,0.008416,0.008416
34,6520.2,1.42379,0.82645,1.15033,0.86889,0.81394,0.89137,0.54769,1.30192,0.73061,1.09597,0.0083665,0.0083665,0.0083665
35,6710.3,1.42269,0.82852,1.14836,0.8711,0.82281,0.89846,0.55019,1.31392,0.71754,1.09824,0.008317,0.008317,0.008317
36,6898.04,1.40224,0.82371,1.1448,0.88197,0.80783,0.89697,0.54779,1.30466,0.71321,1.09736,0.0082675,0.0082675,0.0082675
